var,bin,bin_lo,bin_hi,bin_mid,n,pos_rate,method,brier,logloss,ece,acc@0.5,f1@0.5
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,uncalibrated,0.033567306183879084,0.14686598408777482,0.022501614026546476,0.96307,0.9757532384822959
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,beta,0.03233479008292742,0.13725381606905415,0.0035125956935068386,0.96401,0.9763278192521458
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,isotonic,0.03232360907033799,0.13782849279861334,0.0045193941892832995,0.964,0.9763226434453185
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,magaware_platt,0.03215227362714476,0.13660532572217737,0.0032154788925567034,0.96402,0.9763230281254525
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,magbinned_beta,0.03227216035504132,0.13705780339126228,0.0025238331687148985,0.96401,0.9763137977557669
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,magbinned_isotonic,0.0322498391637039,0.13794644399065176,0.0017805061495982863,0.96403,0.9763313220111467
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,uncalibrated,0.07148288570100954,0.2662286071271835,0.04733160954733516,0.9144691446914469,0.9502729667032948
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,beta,0.06658828417093395,0.24604908120846486,0.008455975972778019,0.9193191931919319,0.95254173480312
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,isotonic,0.06655550855229923,0.245837257183577,0.006789535057084052,0.9192791927919279,0.9525589486799727
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,magaware_platt,0.06648326890901528,0.2456262890212272,0.0064008409108530905,0.919679196791968,0.9526749941079425
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,magbinned_beta,0.06643474557339535,0.24543060836962535,0.005676263581515358,0.9194291942919429,0.9524012075453864
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,magbinned_isotonic,0.06646210225813688,0.24641274959741857,0.003792329837662457,0.9196391963919639,0.9526586782604597
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,uncalibrated,0.13828919086628255,0.4426999367277419,0.0880327067928253,0.8120418795812042,0.8834457783510269
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,beta,0.12715097118711857,0.406331511786623,0.00973868702088746,0.8248417515824842,0.8858743810268439
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,isotonic,0.1270935737741241,0.40611454863410823,0.006622610641857513,0.8250117498825011,0.8863944739114346
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,magaware_platt,0.12717523882823722,0.40640432392666703,0.010205663054306386,0.8247617523824762,0.8853501517847796
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,magbinned_beta,0.1271238560513616,0.40624614819149096,0.008598518784068209,0.8247917520824791,0.8854888992006902
